segment,competitor,symbol,market share,market cap,notes
iPhone,Samsung Electronics,005930.KS,~20% (Global),$473B,"Top global rival in volume; leads in foldables."
iPhone,Xiaomi,1810.HK,~10-12% (Global),$134B,"Strong presence in Asia/Europe; #3 global smartphone vendor."
iPhone,Huawei,N/A,~16% (China),Private,"Regaining dominance in China with Mate 60/70 series; no public stock."
Mac,Lenovo,LNVGY,~24% (Global),$15.6B,"Global PC market leader; dominates enterprise/commercial sector."
Mac,HP Inc.,HPQ,~20% (Global),$22.5B,"Strong US consumer and commercial PC presence."
Mac,Dell Technologies,DELL,~15% (Global),$89.6B,"Key enterprise competitor; heavy focus on AI servers recently."
iPad,Samsung Electronics,005930.KS,~26% (Global),$473B,"Primary competitor in premium tablets (Galaxy Tab S series)."
iPad,Amazon,AMZN,~6% (Global),$2.45T,"Dominates budget tablet market (Fire tablets); ecosystem play."
iPad,Huawei,N/A,~2% (Global),Private,"Strong tablet contender in domestic China market."
Wearables,Huawei,N/A,~21% (Global),Private,"Surpassed Apple in global smartwatch volume in early 2025."
Wearables,Samsung Electronics,005930.KS,~10% (Global),$473B,"Galaxy Watch pairs with Android ecosystem."
Wearables,Garmin,GRMN,Niche Leader,$37.5B,"Dominates high-end fitness/outdoor sports watch segment."
Wearables,Google (Alphabet),GOOGL,N/A,$3.87T,"Owner of Fitbit and Pixel Watch; direct Android ecosystem rival."
Services,Spotify,SPOT,~31.7% (Music),$122B,"Global leader in paid music streaming; direct rival to Apple Music."
Services,Netflix,NFLX,~21-27% (SVOD),$450B,"Global leader in video streaming; benchmark for Apple TV+."
Services,Google (Alphabet),GOOGL,Dominant (Search/Video),$3.87T,"Competes via YouTube Premium, YouTube Music, and Google Cloud."
Services,Microsoft,MSFT,Dominant (Productivity),$3.61T,"Office 365 and OneDrive compete directly with iCloud and iWork."
