segment,revenue share,notes
iPhone,50.4%,"Product Category. Core hardware driver; includes iPhone 17 lineup (released late FY25)."
Services,26.2%,"Product Category. Highest margin segment; includes App Store, iCloud, Apple Music, Apple Pay, AppleCare."
Wearables Home and Accessories,8.6%,"Product Category. Includes Apple Watch, AirPods, HomePod, Apple TV hardware, Beats."
Mac,8.1%,"Product Category. Personal computers including MacBook Air/Pro, iMac, Mac Studio."
iPad,6.7%,"Product Category. Tablet line including iPad Pro, Air, and mini."
Americas,42.9%,"Geographic Segment. Largest region; includes North and South America."
Europe,26.7%,"Geographic Segment. Includes European countries, India, Middle East, and Africa."
Greater China,15.5%,"Geographic Segment. Includes Mainland China, Hong Kong, and Taiwan."
Rest of Asia Pacific,8.1%,"Geographic Segment. Includes Australia and Asian countries not covered by China/Japan segments."
Japan,6.9%,"Geographic Segment. Standalone country reporting segment."
